polybagDataId,ownedPolybag,dayAfterPlanted,ec,n,p,k,ph,createdAt,updatedAt
580,1,24,1.467559851917092,20.1,12.97,20.91,5.61,2024-01-24 19:12:00,2024-01-24 19:12:00
581,2,24,1.7373088028437442,27.38,10.2,28.84,5.69,2024-01-24 00:00:00,2024-01-24 00:00:00
582,2,24,1.5495000747826637,29.75,8.5,29.95,5.92,2024-01-24 04:48:00,2024-01-24 04:48:00
583,2,24,1.3310526897373736,29.14,5.1,17.97,6.14,2024-01-24 09:36:00,2024-01-24 09:36:00
584,2,24,1.4534075661616135,20.29,14.99,18.7,6.69,2024-01-24 14:24:00,2024-01-24 14:24:00
585,2,24,1.9496538519817266,20.05,14.92,32.11,5.91,2024-01-24 19:12:00,2024-01-24 19:12:00
586,3,24,1.0444088584258453,18.01,13.0,31.01,6.56,2024-01-24 00:00:00,2024-01-24 00:00:00
587,3,24,1.851226571861556,28.2,11.12,15.8,6.64,2024-01-24 04:48:00,2024-01-24 04:48:00
588,3,24,1.5701999668591982,17.34,8.61,16.06,5.92,2024-01-24 09:36:00,2024-01-24 09:36:00
589,3,24,1.3005455184057022,17.39,5.38,21.58,5.8,2024-01-24 14:24:00,2024-01-24 14:24:00
590,3,24,1.050388516191926,24.65,7.99,23.9,5.75,2024-01-24 19:12:00,2024-01-24 19:12:00
591,4,24,1.8004448091552157,22.73,13.06,33.39,6.89,2024-01-24 00:00:00,2024-01-24 00:00:00
592,4,24,1.4759573642628552,10.24,7.19,20.65,6.38,2024-01-24 04:48:00,2024-01-24 04:48:00
593,4,24,1.2739290010595519,28.41,11.3,31.16,5.69,2024-01-24 09:36:00,2024-01-24 09:36:00
594,4,24,1.9083763157501887,10.08,13.83,26.78,6.39,2024-01-24 14:24:00,2024-01-24 14:24:00
595,4,24,1.444566106929706,13.82,9.15,24.3,6.29,2024-01-24 19:12:00,2024-01-24 19:12:00
596,5,24,1.7276213825653697,20.74,14.02,29.06,6.26,2024-01-24 00:00:00,2024-01-24 00:00:00
597,5,24,1.499002520607228,12.96,8.05,19.5,5.71,2024-01-24 04:48:00,2024-01-24 04:48:00
598,5,24,1.3069986967042886,14.58,14.78,29.8,5.72,2024-01-24 09:36:00,2024-01-24 09:36:00
599,5,24,1.3748145899969129,22.31,7.72,21.76,5.51,2024-01-24 14:24:00,2024-01-24 14:24:00
600,5,24,1.3016049434612,29.74,14.45,22.65,6.47,2024-01-24 19:12:00,2024-01-24 19:12:00
601,1,25,1.048364441195407,20.98,13.41,31.82,6.39,2024-01-25 00:00:00,2024-01-25 00:00:00
602,1,25,1.5129874958728013,10.1,10.38,18.09,6.38,2024-01-25 04:48:00,2024-01-25 04:48:00
603,1,25,1.2174528035100853,10.44,7.98,15.79,6.38,2024-01-25 09:36:00,2024-01-25 09:36:00
604,1,25,1.5824853840606465,20.59,9.22,24.42,6.96,2024-01-25 14:24:00,2024-01-25 14:24:00
605,1,25,1.1925286631777952,17.32,13.54,16.67,6.91,2024-01-25 19:12:00,2024-01-25 19:12:00
606,2,25,1.2585841338160781,28.25,13.66,21.63,5.81,2024-01-25 00:00:00,2024-01-25 00:00:00
607,2,25,1.5559441018264,14.33,11.07,25.86,5.99,2024-01-25 04:48:00,2024-01-25 04:48:00
608,2,25,1.2552811013383567,14.14,7.18,26.5,6.58,2024-01-25 09:36:00,2024-01-25 09:36:00
609,2,25,1.1434234687112064,21.75,7.53,27.85,5.99,2024-01-25 14:24:00,2024-01-25 14:24:00
610,2,25,1.0556293741448806,24.93,9.01,34.36,6.99,2024-01-25 19:12:00,2024-01-25 19:12:00
611,3,25,1.7705910352797498,28.21,13.58,22.85,5.91,2024-01-25 00:00:00,2024-01-25 00:00:00
612,3,25,1.539499440562882,17.7,6.02,34.31,6.94,2024-01-25 04:48:00,2024-01-25 04:48:00
613,3,25,1.3712058950980504,24.59,14.07,27.2,6.24,2024-01-25 09:36:00,2024-01-25 09:36:00
614,3,25,1.6866754057406852,18.29,7.43,17.5,5.65,2024-01-25 14:24:00,2024-01-25 14:24:00
615,3,25,1.5470543466028845,24.36,8.67,30.88,6.02,2024-01-25 19:12:00,2024-01-25 19:12:00
616,4,25,1.8937193230682823,18.36,8.97,16.88,6.49,2024-01-25 00:00:00,2024-01-25 00:00:00
617,4,25,1.0649435364113309,16.78,11.48,22.93,6.2,2024-01-25 04:48:00,2024-01-25 04:48:00
618,4,25,1.3499890484959869,17.22,8.38,34.62,6.99,2024-01-25 09:36:00,2024-01-25 09:36:00
619,4,25,1.9372706082304911,11.15,10.72,30.61,5.67,2024-01-25 14:24:00,2024-01-25 14:24:00
620,4,25,1.6491756594314824,21.33,11.12,30.06,6.73,2024-01-25 19:12:00,2024-01-25 19:12:00
621,5,25,1.4018808878076023,14.73,11.45,30.96,6.4,2024-01-25 00:00:00,2024-01-25 00:00:00
622,5,25,1.7283883392888852,16.53,13.89,22.15,5.66,2024-01-25 04:48:00,2024-01-25 04:48:00
623,5,25,1.334658311271094,10.13,9.94,20.3,6.73,2024-01-25 09:36:00,2024-01-25 09:36:00
624,5,25,1.7152759097279529,15.82,13.62,30.4,6.65,2024-01-25 14:24:00,2024-01-25 14:24:00
625,5,25,1.2122899513758287,17.66,14.28,34.26,6.36,2024-01-25 19:12:00,2024-01-25 19:12:00
626,1,26,1.239009218591602,13.27,8.41,21.58,5.72,2024-01-26 00:00:00,2024-01-26 00:00:00
627,1,26,1.0060868357048602,28.69,12.27,32.97,6.56,2024-01-26 04:48:00,2024-01-26 04:48:00
628,1,26,1.9099484823300537,23.37,5.89,17.68,5.58,2024-01-26 09:36:00,2024-01-26 09:36:00
629,1,26,1.5386626286367795,24.41,5.0,26.53,6.49,2024-01-26 14:24:00,2024-01-26 14:24:00
630,1,26,1.9201144245846953,11.36,8.74,19.53,6.51,2024-01-26 19:12:00,2024-01-26 19:12:00
631,2,26,1.403514353976107,13.47,8.37,34.15,6.28,2024-01-26 00:00:00,2024-01-26 00:00:00
632,2,26,1.4783262582233903,26.36,14.88,20.5,5.68,2024-01-26 04:48:00,2024-01-26 04:48:00
633,2,26,1.0823132852783692,16.93,6.17,20.64,6.83,2024-01-26 09:36:00,2024-01-26 09:36:00
634,2,26,1.1387443427761312,13.25,6.07,32.59,6.81,2024-01-26 14:24:00,2024-01-26 14:24:00
635,2,26,1.374972916808965,10.24,8.56,30.5,6.05,2024-01-26 19:12:00,2024-01-26 19:12:00
636,3,26,1.7155497850776256,24.87,13.08,16.02,6.25,2024-01-26 00:00:00,2024-01-26 00:00:00
637,3,26,1.1036237182627149,26.06,6.18,29.09,5.79,2024-01-26 04:48:00,2024-01-26 04:48:00
638,3,26,1.165343140197915,11.06,13.32,24.12,6.78,2024-01-26 09:36:00,2024-01-26 09:36:00
639,3,26,1.6548595025745616,18.9,5.27,29.63,5.86,2024-01-26 14:24:00,2024-01-26 14:24:00
640,3,26,1.7030436010401009,24.85,13.93,22.51,6.87,2024-01-26 19:12:00,2024-01-26 19:12:00
641,4,26,1.9792342893408494,19.13,9.67,16.35,6.83,2024-01-26 00:00:00,2024-01-26 00:00:00
642,4,26,1.2804255280585202,15.96,11.83,28.15,6.12,2024-01-26 04:48:00,2024-01-26 04:48:00
643,4,26,1.319015462538294,21.18,8.0,33.09,6.32,2024-01-26 09:36:00,2024-01-26 09:36:00
644,4,26,1.4786682856321458,16.41,12.49,24.54,6.51,2024-01-26 14:24:00,2024-01-26 14:24:00
645,4,26,1.6544130903417025,17.56,10.51,25.45,6.29,2024-01-26 19:12:00,2024-01-26 19:12:00
646,5,26,1.4955337313367856,23.79,13.32,16.97,6.9,2024-01-26 00:00:00,2024-01-26 00:00:00
647,5,26,1.7581818697861886,10.43,11.04,29.25,6.6,2024-01-26 04:48:00,2024-01-26 04:48:00
648,5,26,1.7237698580693523,13.55,14.66,32.81,6.39,2024-01-26 09:36:00,2024-01-26 09:36:00
649,5,26,1.663936567615905,29.94,8.88,19.76,5.73,2024-01-26 14:24:00,2024-01-26 14:24:00
650,5,26,1.2731710975166917,15.27,10.41,15.49,6.53,2024-01-26 19:12:00,2024-01-26 19:12:00
651,1,27,1.040640612123412,16.89,12.32,30.67,5.54,2024-01-27 00:00:00,2024-01-27 00:00:00
652,1,27,1.297838752961383,12.19,9.04,33.41,6.71,2024-01-27 04:48:00,2024-01-27 04:48:00
653,1,27,1.9827680868624977,28.82,10.78,24.64,6.22,2024-01-27 09:36:00,2024-01-27 09:36:00
654,1,27,1.092267081929888,21.2,5.42,34.53,6.0,2024-01-27 14:24:00,2024-01-27 14:24:00
655,1,27,1.3860000645868689,21.14,14.71,26.83,5.64,2024-01-27 19:12:00,2024-01-27 19:12:00
656,2,27,1.4647984198382402,29.44,7.19,17.4,6.05,2024-01-27 00:00:00,2024-01-27 00:00:00
657,2,27,1.5179648553845926,19.17,9.8,22.82,5.72,2024-01-27 04:48:00,2024-01-27 04:48:00
658,2,27,1.9063185851242632,14.22,13.73,25.36,6.52,2024-01-27 09:36:00,2024-01-27 09:36:00
659,2,27,1.9861090677266842,26.84,9.53,34.46,6.38,2024-01-27 14:24:00,2024-01-27 14:24:00
660,2,27,1.6253298312347102,29.23,12.62,20.93,6.39,2024-01-27 19:12:00,2024-01-27 19:12:00
661,3,27,1.3518931864505925,25.4,5.23,29.84,5.6,2024-01-27 00:00:00,2024-01-27 00:00:00
662,3,27,1.303269164279554,15.61,7.16,19.87,6.52,2024-01-27 04:48:00,2024-01-27 04:48:00
663,3,27,1.5978456473693008,19.81,13.51,26.49,6.19,2024-01-27 09:36:00,2024-01-27 09:36:00
664,3,27,1.924505336987107,22.16,8.72,18.15,6.71,2024-01-27 14:24:00,2024-01-27 14:24:00
665,3,27,1.0875361565475499,15.86,12.69,30.74,5.75,2024-01-27 19:12:00,2024-01-27 19:12:00
666,4,27,1.309270259300686,28.29,14.07,23.45,5.65,2024-01-27 00:00:00,2024-01-27 00:00:00
667,4,27,1.318743381006801,25.01,7.03,15.32,6.34,2024-01-27 04:48:00,2024-01-27 04:48:00
668,4,27,1.1280692252022788,21.45,14.13,24.7,5.64,2024-01-27 09:36:00,2024-01-27 09:36:00
669,4,27,1.8631262211295323,29.97,14.8,25.24,6.07,2024-01-27 14:24:00,2024-01-27 14:24:00
670,4,27,1.6107506644311251,27.77,6.43,27.03,6.57,2024-01-27 19:12:00,2024-01-27 19:12:00
671,5,27,1.4669313265461095,14.1,11.64,29.58,5.74,2024-01-27 00:00:00,2024-01-27 00:00:00
672,5,27,1.8292048224048418,11.62,10.4,16.4,6.05,2024-01-27 04:48:00,2024-01-27 04:48:00
673,5,27,1.141697203118209,24.07,7.29,16.23,5.56,2024-01-27 09:36:00,2024-01-27 09:36:00
674,5,27,1.4790244582067524,16.76,14.3,20.13,5.88,2024-01-27 14:24:00,2024-01-27 14:24:00
675,5,27,1.6522893864256019,27.04,10.42,16.16,5.76,2024-01-27 19:12:00,2024-01-27 19:12:00
676,1,28,1.1685681800007335,10.84,13.07,18.98,6.04,2024-01-28 00:00:00,2024-01-28 00:00:00
677,1,28,1.4478987673216952,23.04,5.25,19.17,5.51,2024-01-28 04:48:00,2024-01-28 04:48:00
678,1,28,1.6832653672733164,14.79,7.27,19.08,5.96,2024-01-28 09:36:00,2024-01-28 09:36:00
679,1,28,1.3094891142392153,20.43,14.27,21.85,5.74,2024-01-28 14:24:00,2024-01-28 14:24:00
680,1,28,1.6217504129696831,11.28,12.16,28.77,6.43,2024-01-28 19:12:00,2024-01-28 19:12:00
681,2,28,1.618447528381014,10.09,12.78,22.87,6.26,2024-01-28 00:00:00,2024-01-28 00:00:00
682,2,28,1.10698359695553,18.54,9.87,28.64,5.51,2024-01-28 04:48:00,2024-01-28 04:48:00
683,2,28,1.9677997124684505,25.48,9.15,17.13,6.67,2024-01-28 09:36:00,2024-01-28 09:36:00
684,2,28,1.439211289670526,22.44,13.86,18.69,5.57,2024-01-28 14:24:00,2024-01-28 14:24:00
685,2,28,1.9979322071006078,19.91,10.74,17.42,6.17,2024-01-28 19:12:00,2024-01-28 19:12:00
686,3,28,1.154553820316321,24.65,13.5,16.99,5.71,2024-01-28 00:00:00,2024-01-28 00:00:00
687,3,28,1.510957142253892,18.07,6.05,34.82,6.82,2024-01-28 04:48:00,2024-01-28 04:48:00
688,3,28,1.1898027813847176,20.63,13.88,25.46,6.43,2024-01-28 09:36:00,2024-01-28 09:36:00
689,3,28,1.9304298736819934,12.12,5.59,26.86,6.82,2024-01-28 14:24:00,2024-01-28 14:24:00
690,3,28,1.955956868008049,11.14,12.15,29.45,5.7,2024-01-28 19:12:00,2024-01-28 19:12:00
691,4,28,1.4771886802215048,16.39,6.23,16.69,5.77,2024-01-28 00:00:00,2024-01-28 00:00:00
692,4,28,1.243410809004673,10.94,9.24,31.93,5.8,2024-01-28 04:48:00,2024-01-28 04:48:00
693,4,28,1.927196955688585,18.1,9.64,28.75,6.17,2024-01-28 09:36:00,2024-01-28 09:36:00
694,4,28,1.3844541748841908,27.27,6.99,15.29,6.51,2024-01-28 14:24:00,2024-01-28 14:24:00
695,4,28,1.2411522308466783,22.58,8.97,30.97,6.95,2024-01-28 19:12:00,2024-01-28 19:12:00
696,5,28,1.6054573528240188,19.48,8.64,24.98,5.69,2024-01-28 00:00:00,2024-01-28 00:00:00
697,5,28,1.016035617316707,27.93,7.95,15.25,6.64,2024-01-28 04:48:00,2024-01-28 04:48:00
698,5,28,1.0943291356071703,29.84,10.0,32.82,6.46,2024-01-28 09:36:00,2024-01-28 09:36:00
699,5,28,1.2699583895816016,26.0,9.79,15.85,5.94,2024-01-28 14:24:00,2024-01-28 14:24:00
700,5,28,1.958687266515002,14.71,13.41,15.6,5.92,2024-01-28 19:12:00,2024-01-28 19:12:00
701,1,29,1.7801630634185321,22.1,11.72,26.22,6.3,2024-01-29 00:00:00,2024-01-29 00:00:00
702,1,29,1.8499182666504175,17.28,11.25,17.75,5.99,2024-01-29 04:48:00,2024-01-29 04:48:00
703,1,29,1.9342069090288434,20.99,9.99,29.91,6.53,2024-01-29 09:36:00,2024-01-29 09:36:00
704,1,29,1.136323721329937,25.06,13.93,21.77,6.33,2024-01-29 14:24:00,2024-01-29 14:24:00
705,1,29,1.000179338551621,14.54,9.07,22.82,5.71,2024-01-29 19:12:00,2024-01-29 19:12:00
706,2,29,1.255162184008136,15.0,10.37,23.88,6.78,2024-01-29 00:00:00,2024-01-29 00:00:00
707,2,29,1.1539057648627886,26.41,10.18,30.91,6.23,2024-01-29 04:48:00,2024-01-29 04:48:00
708,2,29,1.2223717893259565,27.06,10.73,25.26,6.11,2024-01-29 09:36:00,2024-01-29 09:36:00
709,2,29,1.182954378332457,24.17,8.24,18.4,6.63,2024-01-29 14:24:00,2024-01-29 14:24:00
710,2,29,1.695509342756075,21.13,10.92,21.11,6.41,2024-01-29 19:12:00,2024-01-29 19:12:00
711,3,29,1.458045525585978,11.43,14.97,32.8,6.91,2024-01-29 00:00:00,2024-01-29 00:00:00
712,3,29,1.5837748780621812,27.22,6.34,19.99,5.73,2024-01-29 04:48:00,2024-01-29 04:48:00
713,3,29,1.3813343327534575,24.95,10.98,32.67,6.31,2024-01-29 09:36:00,2024-01-29 09:36:00
714,3,29,1.426062067299553,28.86,13.95,32.22,5.6,2024-01-29 14:24:00,2024-01-29 14:24:00
715,3,29,1.0609421508902956,20.8,7.85,25.87,6.08,2024-01-29 19:12:00,2024-01-29 19:12:00
716,4,29,1.8941561864835341,29.22,7.28,19.94,6.22,2024-01-29 00:00:00,2024-01-29 00:00:00
717,4,29,1.2102509511666737,27.94,11.13,17.0,6.23,2024-01-29 04:48:00,2024-01-29 04:48:00
718,4,29,1.6348923680924339,13.65,10.02,33.05,6.68,2024-01-29 09:36:00,2024-01-29 09:36:00
719,4,29,1.1278483515286375,15.59,10.31,22.35,5.97,2024-01-29 14:24:00,2024-01-29 14:24:00
720,4,29,1.2682779032520604,24.67,13.22,25.87,5.6,2024-01-29 19:12:00,2024-01-29 19:12:00
721,5,29,1.316274603505275,12.25,12.81,31.94,6.61,2024-01-29 00:00:00,2024-01-29 00:00:00
722,5,29,1.2103024142494068,26.74,6.39,28.77,5.93,2024-01-29 04:48:00,2024-01-29 04:48:00
723,5,29,1.173143563506693,26.88,7.14,31.99,6.81,2024-01-29 09:36:00,2024-01-29 09:36:00
724,5,29,1.631860004927808,21.2,13.71,21.09,6.55,2024-01-29 14:24:00,2024-01-29 14:24:00
725,5,29,1.267575184301013,15.84,10.11,26.69,5.83,2024-01-29 19:12:00,2024-01-29 19:12:00
726,1,30,1.4681975693566733,25.65,6.81,19.09,5.53,2024-01-30 00:00:00,2024-01-30 00:00:00
727,1,30,1.1378913178736298,20.38,8.25,32.4,5.5,2024-01-30 04:48:00,2024-01-30 04:48:00
728,1,30,1.1567197963045877,25.54,9.06,30.68,6.54,2024-01-30 09:36:00,2024-01-30 09:36:00
729,1,30,1.054218753171563,22.33,5.61,22.92,6.17,2024-01-30 14:24:00,2024-01-30 14:24:00
730,1,30,1.5111406177315811,12.02,10.0,16.43,6.29,2024-01-30 19:12:00,2024-01-30 19:12:00
731,2,30,1.8223924465856791,10.72,9.41,20.97,6.83,2024-01-30 00:00:00,2024-01-30 00:00:00
732,2,30,1.1529719116838837,10.28,6.96,27.35,6.0,2024-01-30 04:48:00,2024-01-30 04:48:00
733,2,30,1.7928828346985013,22.35,5.14,18.92,6.47,2024-01-30 09:36:00,2024-01-30 09:36:00
734,2,30,1.7971577461118868,25.57,7.73,15.11,6.77,2024-01-30 14:24:00,2024-01-30 14:24:00
735,2,30,1.04515907511185,15.41,6.18,18.51,5.94,2024-01-30 19:12:00,2024-01-30 19:12:00
736,3,30,1.7199977129571855,14.16,13.52,16.27,6.57,2024-01-30 00:00:00,2024-01-30 00:00:00
737,3,30,1.8680425628255195,26.04,9.43,16.31,6.1,2024-01-30 04:48:00,2024-01-30 04:48:00
738,3,30,1.7304012346754565,13.27,11.83,20.55,6.36,2024-01-30 09:36:00,2024-01-30 09:36:00
739,3,30,1.6374956219717196,26.71,11.8,30.6,6.1,2024-01-30 14:24:00,2024-01-30 14:24:00
740,3,30,1.2097346209421844,15.5,6.29,26.29,6.77,2024-01-30 19:12:00,2024-01-30 19:12:00
741,4,30,1.0965124487107625,28.87,7.59,29.98,6.61,2024-01-30 00:00:00,2024-01-30 00:00:00
742,4,30,1.7458499181239668,20.41,8.72,23.6,6.36,2024-01-30 04:48:00,2024-01-30 04:48:00
743,4,30,1.233785658750075,28.81,12.59,26.37,6.27,2024-01-30 09:36:00,2024-01-30 09:36:00
744,4,30,1.9497906958924651,19.18,12.66,34.15,6.28,2024-01-30 14:24:00,2024-01-30 14:24:00
745,4,30,1.9621974647664395,20.28,9.47,18.03,5.92,2024-01-30 19:12:00,2024-01-30 19:12:00
746,5,30,1.29226094094546,14.49,14.08,19.93,6.2,2024-01-30 00:00:00,2024-01-30 00:00:00
747,5,30,1.5858055119939274,10.53,11.25,24.18,6.33,2024-01-30 04:48:00,2024-01-30 04:48:00
748,5,30,1.5631989627343006,14.53,6.15,31.09,6.2,2024-01-30 09:36:00,2024-01-30 09:36:00
749,5,30,1.7673553655856875,27.28,5.97,33.29,6.3,2024-01-30 14:24:00,2024-01-30 14:24:00
750,5,30,1.066426186740058,28.78,14.38,26.52,6.35,2024-01-30 19:12:00,2024-01-30 19:12:00
751,1,31,1.015362765371491,28.82,11.58,29.49,5.67,2024-01-31 00:00:00,2024-01-31 00:00:00
752,1,31,1.223100945328512,28.89,12.78,19.4,5.9,2024-01-31 04:48:00,2024-01-31 04:48:00
753,1,31,1.6669620813208004,18.89,6.97,28.26,6.09,2024-01-31 09:36:00,2024-01-31 09:36:00
754,1,31,1.2246183031182487,20.04,11.84,26.1,6.32,2024-01-31 14:24:00,2024-01-31 14:24:00
755,1,31,1.693382062774433,24.29,10.8,25.24,6.32,2024-01-31 19:12:00,2024-01-31 19:12:00
756,2,31,1.8576239418753309,15.31,6.93,34.36,6.2,2024-01-31 00:00:00,2024-01-31 00:00:00
757,2,31,1.6333058623494379,19.66,13.68,20.24,6.9,2024-01-31 04:48:00,2024-01-31 04:48:00
758,2,31,1.6940709521110309,15.04,13.1,33.46,6.74,2024-01-31 09:36:00,2024-01-31 09:36:00
759,2,31,1.96812267397301,26.07,14.45,19.06,6.12,2024-01-31 14:24:00,2024-01-31 14:24:00
760,2,31,1.0822585175040518,12.69,13.97,26.52,5.86,2024-01-31 19:12:00,2024-01-31 19:12:00
761,3,31,1.9459627007225577,20.34,12.8,32.49,6.25,2024-01-31 00:00:00,2024-01-31 00:00:00
762,3,31,1.8926373264237744,24.36,14.95,33.51,6.96,2024-01-31 04:48:00,2024-01-31 04:48:00
763,3,31,1.6217511733521301,18.54,11.56,29.64,7.0,2024-01-31 09:36:00,2024-01-31 09:36:00
764,3,31,1.41432101870352,25.94,9.02,34.48,5.51,2024-01-31 14:24:00,2024-01-31 14:24:00
765,3,31,1.4045870172397432,22.43,13.36,26.07,5.88,2024-01-31 19:12:00,2024-01-31 19:12:00
766,4,31,1.5060214915029744,16.65,10.41,30.19,5.99,2024-01-31 00:00:00,2024-01-31 00:00:00
767,4,31,1.7246951140551554,19.05,6.74,22.74,5.77,2024-01-31 04:48:00,2024-01-31 04:48:00
768,4,31,1.8309873777132073,13.37,6.5,30.77,6.0,2024-01-31 09:36:00,2024-01-31 09:36:00
769,4,31,1.2974283658838734,27.53,10.97,31.37,6.59,2024-01-31 14:24:00,2024-01-31 14:24:00
770,4,31,1.4367328012608027,21.5,12.24,27.2,5.75,2024-01-31 19:12:00,2024-01-31 19:12:00
771,5,31,1.9927242162428067,26.22,5.11,15.98,6.97,2024-01-31 00:00:00,2024-01-31 00:00:00
772,5,31,1.935891190948645,24.02,13.73,24.29,6.88,2024-01-31 04:48:00,2024-01-31 04:48:00
773,5,31,1.8011964063228347,25.33,7.34,25.22,6.42,2024-01-31 09:36:00,2024-01-31 09:36:00
774,5,31,1.842148503837235,10.13,12.38,25.38,6.06,2024-01-31 14:24:00,2024-01-31 14:24:00
775,5,31,1.5572922174941084,25.08,5.69,27.55,6.58,2024-01-31 19:12:00,2024-01-31 19:12:00
776,1,32,1.1386531081957851,26.47,7.12,24.0,6.5,2024-02-01 00:00:00,2024-02-01 00:00:00
777,1,32,1.2991731850320969,29.31,12.91,27.15,6.16,2024-02-01 04:48:00,2024-02-01 04:48:00
778,1,32,1.4991759757831749,28.82,6.89,30.01,5.98,2024-02-01 09:36:00,2024-02-01 09:36:00
779,1,32,1.9409919337084323,13.72,12.03,26.54,6.65,2024-02-01 14:24:00,2024-02-01 14:24:00
780,1,32,1.087242306207188,13.33,6.17,33.4,5.95,2024-02-01 19:12:00,2024-02-01 19:12:00
781,2,32,1.0651949465644432,13.47,11.84,23.05,6.92,2024-02-01 00:00:00,2024-02-01 00:00:00
782,2,32,1.737805949294958,13.98,6.77,16.58,6.15,2024-02-01 04:48:00,2024-02-01 04:48:00
783,2,32,1.327390661211826,29.12,14.17,15.51,6.83,2024-02-01 09:36:00,2024-02-01 09:36:00
784,2,32,1.5996216451774328,15.41,5.17,26.05,6.18,2024-02-01 14:24:00,2024-02-01 14:24:00
785,2,32,1.1422870549331354,15.65,9.68,29.09,5.91,2024-02-01 19:12:00,2024-02-01 19:12:00
786,3,32,1.0879490844306265,15.35,9.61,15.35,6.23,2024-02-01 00:00:00,2024-02-01 00:00:00
787,3,32,1.976088062118964,22.82,10.53,32.46,6.55,2024-02-01 04:48:00,2024-02-01 04:48:00
788,3,32,1.8973159994332276,29.12,12.32,16.48,6.21,2024-02-01 09:36:00,2024-02-01 09:36:00
789,3,32,1.8247470865550808,28.61,9.82,25.18,6.43,2024-02-01 14:24:00,2024-02-01 14:24:00
790,3,32,1.7419951707124959,10.63,9.29,28.78,5.75,2024-02-01 19:12:00,2024-02-01 19:12:00
791,4,32,1.2825361030660196,26.92,11.77,31.01,5.91,2024-02-01 00:00:00,2024-02-01 00:00:00
792,4,32,1.3874206709541645,17.8,10.72,34.57,6.81,2024-02-01 04:48:00,2024-02-01 04:48:00
793,4,32,1.6915498636824282,15.43,9.26,29.35,6.47,2024-02-01 09:36:00,2024-02-01 09:36:00
794,4,32,1.7334910651834392,11.15,8.63,17.47,5.61,2024-02-01 14:24:00,2024-02-01 14:24:00
795,4,32,1.7976906331242124,28.97,7.11,26.26,6.8,2024-02-01 19:12:00,2024-02-01 19:12:00
796,5,32,1.920606293837455,27.11,12.05,24.06,5.68,2024-02-01 00:00:00,2024-02-01 00:00:00
797,5,32,1.8049267192751626,18.5,10.81,22.1,6.04,2024-02-01 04:48:00,2024-02-01 04:48:00
798,5,32,1.879218275665727,19.64,5.21,29.89,6.16,2024-02-01 09:36:00,2024-02-01 09:36:00
799,5,32,1.4026083149399673,18.7,12.09,32.85,5.93,2024-02-01 14:24:00,2024-02-01 14:24:00
800,5,32,1.5745457537590895,21.99,14.9,32.9,6.92,2024-02-01 19:12:00,2024-02-01 19:12:00
801,1,33,1.55774254741016,20.04,10.0,19.94,6.41,2024-02-02 00:00:00,2024-02-02 00:00:00
802,1,33,1.0594486786067636,13.43,5.19,30.48,5.72,2024-02-02 04:48:00,2024-02-02 04:48:00
803,1,33,1.2019236383271985,18.86,11.3,26.61,6.74,2024-02-02 09:36:00,2024-02-02 09:36:00
804,1,33,1.003554844092568,23.68,11.45,24.77,5.95,2024-02-02 14:24:00,2024-02-02 14:24:00
805,1,33,1.2533658520935238,11.0,5.77,24.03,6.59,2024-02-02 19:12:00,2024-02-02 19:12:00
806,2,33,1.6945388331414706,24.38,10.24,28.26,5.52,2024-02-02 00:00:00,2024-02-02 00:00:00
807,2,33,1.4671103183266112,17.82,11.88,18.73,5.62,2024-02-02 04:48:00,2024-02-02 04:48:00
808,2,33,1.4693409275503195,12.02,12.69,18.57,6.22,2024-02-02 09:36:00,2024-02-02 09:36:00
809,2,33,1.8817510169952965,12.18,12.39,27.1,6.71,2024-02-02 14:24:00,2024-02-02 14:24:00
810,2,33,1.70493219552586,21.15,6.65,20.3,6.52,2024-02-02 19:12:00,2024-02-02 19:12:00
811,3,33,1.205874179258062,27.53,10.16,18.86,6.61,2024-02-02 00:00:00,2024-02-02 00:00:00
812,3,33,1.6233401071731954,27.81,11.0,26.54,6.35,2024-02-02 04:48:00,2024-02-02 04:48:00
813,3,33,1.375604927398272,13.18,5.18,15.98,5.87,2024-02-02 09:36:00,2024-02-02 09:36:00
814,3,33,1.3810297232776412,21.49,12.86,16.75,6.59,2024-02-02 14:24:00,2024-02-02 14:24:00
815,3,33,1.2988027608299069,27.59,12.72,29.47,6.89,2024-02-02 19:12:00,2024-02-02 19:12:00
816,4,33,1.2558918015500309,11.93,14.66,22.45,6.76,2024-02-02 00:00:00,2024-02-02 00:00:00
817,4,33,1.170650934551337,14.27,5.05,21.13,7.0,2024-02-02 04:48:00,2024-02-02 04:48:00
818,4,33,1.0504124838250681,27.73,11.78,33.26,6.65,2024-02-02 09:36:00,2024-02-02 09:36:00
819,4,33,1.1185509413966628,22.12,7.97,23.24,6.28,2024-02-02 14:24:00,2024-02-02 14:24:00
820,4,33,1.3256524670806638,25.54,11.59,17.26,6.02,2024-02-02 19:12:00,2024-02-02 19:12:00
821,5,33,1.16547937429975,21.23,14.19,27.95,5.54,2024-02-02 00:00:00,2024-02-02 00:00:00
822,5,33,1.5000498198411987,20.6,7.94,22.33,6.87,2024-02-02 04:48:00,2024-02-02 04:48:00
823,5,33,1.5183791275022132,13.24,12.95,18.99,6.53,2024-02-02 09:36:00,2024-02-02 09:36:00
824,5,33,1.0744851331875989,20.42,14.96,28.69,5.83,2024-02-02 14:24:00,2024-02-02 14:24:00
825,5,33,1.7434322595662561,29.13,10.88,15.89,6.04,2024-02-02 19:12:00,2024-02-02 19:12:00
